"","ttext","date","isretweet","retweetcount","favoritecount","score","product","city","country","duplicate"
"1384","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 18:55:48","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1385","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 18:50:17","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1386","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 18:50:14","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1387","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 18:49:51","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1388","RT @iDropNews: iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7.2 apple","2020-12-14 18:48:53","TRUE","14","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1389","All my apple products are freezing... computer...phone...all of it. 

Is Mercury on her period again or is it a new iphone dropping?","2020-12-14 18:44:08","FALSE","0","13","-1","Apple iPhone","Los Angeles","USA",FALSE
"1390","RT @iDropNews: Congrats to Matthew R. from Brooklyn, New York who won a brand-new iPhone 12 Pro Max from @iDropNews  Follow the link and e","2020-12-14 18:27:54","TRUE","1857","0","1","Apple iPhone","Los Angeles","USA",TRUE
"1391","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 18:21:26","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1392","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 18:16:49","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1393","iPhone and Apple Watch software updates have landed! Here are 10 new features and changes in iOS 14.3 and watchOS 7 ","2020-12-14 18:07:15","FALSE","14","46","0","Apple iPhone","Los Angeles","USA",FALSE
"1394","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 18:04:07","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1395","Spotlight search not working on iPhone? Here's the fix.
_
","2020-12-14 18:04:05","FALSE","0","0","0","Apple iPhone","Los Angeles","USA",FALSE
"1396","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 18:02:23","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
"1397","RT @iDropNews: There are already some great MagSafe accessories available. Were not just talking about Apples, but there are third-party","2020-12-14 17:55:09","TRUE","5","0","2","Apple iPhone","Los Angeles","USA",FALSE
"1398","RT @GerberKawasaki: When I first bought Apple stock. No one had any idea Steve Jobs would invent the IPhone. Imagine what Elon can do that","2020-12-14 17:53:27","TRUE","178","0","0","Apple iPhone","Los Angeles","USA",TRUE
